"","Date","Open*","High","Low","Close**","Volume","Market Cap"
"512","Jan 19, 2018",11429.8,11992.8,11172.1,11607.4,"10,740,400,128","195,158,837,709"
"513","Jan 18, 2018",11198.8,12107.3,10942.5,11474.9,"15,020,399,616","192,907,550,324"
"514","Jan 17, 2018",11431.1,11678,9402.29,11188.6,"18,830,600,192","188,070,430,523"
"515","Jan 16, 2018",13836.1,13843.1,10194.9,11490.5,"18,853,799,936","193,121,120,762"
"516","Jan 15, 2018",13767.3,14445.5,13641.7,13819.8,"12,750,799,872","232,242,775,485"
"517","Jan 14, 2018",14370.8,14511.8,13268,13772,"11,084,099,584","231,413,491,364"
"518","Jan 13, 2018",13952.4,14659.5,13952.4,14360.2,"12,763,599,872","241,268,592,240"
"519","Jan 12, 2018",13453.9,14229.9,13158.1,13980.6,"12,065,699,840","234,865,160,377"
"520","Jan 11, 2018",14968.2,15018.8,13105.9,13405.8,"16,534,099,968","225,178,724,050"
"521","Jan 10, 2018",14588.5,14973.3,13691.2,14973.3,"18,500,800,512","251,472,635,522"
"522","Jan 09, 2018",15123.7,15497.5,14424,14595.4,"16,659,999,744","245,095,808,695"
"523","Jan 08, 2018",16476.2,16537.9,14208.2,15170.1,"18,413,899,776","254,715,263,101"
"524","Jan 07, 2018",17527.3,17579.6,16087.7,16477.6,"15,866,000,384","276,634,797,271"
"525","Jan 06, 2018",17462.1,17712.4,16764.6,17527,"18,314,600,448","294,217,423,675"
"526","Jan 05, 2018",15477.2,17705.2,15202.8,17429.5,"23,840,899,072","292,544,135,538"
"527","Jan 04, 2018",15270.7,15739.7,14522.2,15599.2,"21,783,199,744","261,795,321,110"
"528","Jan 03, 2018",14978.2,15572.8,14844.5,15201,"16,871,900,160","255,080,562,912"
"529","Jan 02, 2018",13625,15444.6,13163.6,14982.1,"16,846,600,192","251,377,913,955"
"530","Jan 01, 2018",14112.2,14112.2,13154.7,13657.2,"10,291,200,000","229,119,155,396"
"531","Dec 31, 2017",12897.7,14377.4,12755.6,14156.4,"12,136,299,520","237,465,823,980"
"532","Dec 30, 2017",14681.9,14681.9,12350.1,12952.2,"14,452,599,808","217,239,803,085"
"533","Dec 29, 2017",14695.8,15279,14307,14656.2,"13,025,500,160","245,793,634,125"
"534","Dec 28, 2017",15864.1,15888.4,13937.3,14606.5,"12,336,499,712","244,929,825,575"
"535","Dec 27, 2017",16163.5,16930.9,15114.3,15838.5,"12,487,600,128","265,559,172,050"
"536","Dec 26, 2017",14036.6,16461.2,14028.9,16099.8,"13,454,300,160","269,908,107,763"
"537","Dec 25, 2017",13995.9,14593,13448.9,14026.6,"10,664,699,904","235,126,843,805"
"538","Dec 24, 2017",14608.2,14626,12747.7,13925.8,"11,572,299,776","233,414,163,395"
"539","Dec 23, 2017",13948.7,15603.2,13828.8,14699.2,"13,086,000,128","246,349,213,910"
"540","Dec 22, 2017",15898,15943.4,11833,13831.8,"22,197,999,616","231,788,283,457"
"541","Dec 21, 2017",16642.4,17567.7,15342.7,15802.9,"16,516,599,808","264,788,651,530"
"542","Dec 20, 2017",17760.3,17934.7,16077.7,16624.6,"22,149,699,584","278,528,964,015"
"543","Dec 19, 2017",19118.3,19177.8,17275.4,17776.7,"16,894,499,840","297,801,055,828"
"544","Dec 18, 2017",19106.4,19371,18355.9,19114.2,"14,839,499,776","320,174,318,520"
"545","Dec 17, 2017",19475.8,20089,18974.1,19140.8,"13,314,599,936","320,576,568,850"
"546","Dec 16, 2017",17760.3,19716.7,17515.3,19497.4,"12,740,599,808","326,502,485,530"
"547","Dec 15, 2017",16601.3,18154.1,16601.3,17706.9,"14,309,999,616","296,482,120,238"
"548","Dec 14, 2017",16384.6,17085.8,16185.9,16564,"13,777,399,808","277,310,347,000"
"549","Dec 13, 2017",17500,17653.1,16039.7,16408.2,"12,976,900,096","274,663,619,978"
"550","Dec 12, 2017",16919.8,17781.8,16571.6,17415.4,"14,603,799,552","291,483,935,710"
"551","Dec 11, 2017",15427.4,17513.9,15404.8,16936.8,"12,153,900,032","283,439,888,520"
"552","Dec 10, 2017",15168.4,15850.6,13226.6,15455.4,"13,433,299,968","258,615,393,665"
"553","Dec 09, 2017",16523.3,16783,13674.9,15178.2,"13,911,300,096","253,946,084,745"
"554","Dec 08, 2017",17802.9,18353.4,14336.9,16569.4,"21,135,998,976","277,185,764,485"
"555","Dec 07, 2017",14266.1,17899.7,14057.3,17899.7,"17,950,699,520","299,405,364,249"
"556","Dec 06, 2017",11923.4,14369.1,11923.4,14291.5,"12,656,300,032","239,024,437,136"
"557","Dec 05, 2017",11685.7,12032,11604.6,11916.7,"6,895,260,160","199,278,350,420"
