Date,Open Price,Close Price,High Price,Low Price,Volume
30-Jan-2013,13107.53,13046.54,13128.77,13015.57,235335792
31-Jan-2013,13047.57,13030.49,13050.52,12984.12,279994176
01-Feb-2013,13030.46,13275.76,13275.79,13030.46,277725920
04-Feb-2013,13275.79,13177.02,13295.49,13173.91,232653296
05-Feb-2013,13177.00,13242.77,13256.18,13147.41,222670560
06-Feb-2013,13242.78,13341.60,13392.72,13242.78,272147264
07-Feb-2013,13341.58,13300.65,13375.33,13282.64,238481728
08-Feb-2013,13300.60,13375.25,13375.71,13300.60,232968752
11-Feb-2013,13375.34,13373.63,13397.14,13341.74,212959200
12-Feb-2013,13373.65,13476.01,13476.01,13339.97,192202864
13-Feb-2013,13476.00,13602.99,13622.74,13442.64,230879552
14-Feb-2013,13603.05,13500.47,13603.54,13461.21,213652000
15-Feb-2013,13500.43,13558.35,13563.74,13453.81,178338544
18-Feb-2013,13558.42,13498.99,13567.30,13481.74,221931680
19-Feb-2013,13498.97,13654.95,13668.82,13498.97,187461504
20-Feb-2013,13654.96,13739.94,13777.67,13652.22,213809248
21-Feb-2013,13740.11,13554.71,13740.11,13492.01,213608928
22-Feb-2013,13554.69,13668.86,13704.39,13554.68,189362176
25-Feb-2013,13669.12,13685.70,13744.13,13618.29,199223392
26-Feb-2013,13685.50,13536.04,13685.50,13448.78,235728112
27-Feb-2013,13536.11,13625.49,13625.49,13524.94,211488688
28-Feb-2013,13625.42,13704.02,13715.51,13623.72,289588544
01-Mar-2013,13704.03,13750.55,13773.72,13676.95,242547536
04-Mar-2013,13750.53,13674.53,13750.53,13640.94,285825568
05-Mar-2013,13674.44,13861.28,13875.02,13674.44,267303264
06-Mar-2013,13861.26,13923.27,13946.56,13859.48,243184752
07-Mar-2013,13923.40,13953.35,13964.01,13904.90,232639328
08-Mar-2013,13953.46,14018.79,14044.88,13952.53,206290944
11-Mar-2013,14019.14,14012.74,14023.29,13972.49,225909056
12-Mar-2013,14012.75,14019.97,14065.53,14007.38,261947136
13-Mar-2013,14019.81,13971.65,14040.97,13937.70,260928368
14-Mar-2013,13971.65,14084.00,14084.00,13971.24,292031136
15-Mar-2013,14083.86,14105.55,14172.73,14083.63,490344640
18-Mar-2013,14105.58,14089.75,14105.60,13932.58,235091760
19-Mar-2013,14089.77,14035.92,14114.48,14011.97,253989088
20-Mar-2013,14035.95,14030.68,14085.73,13991.45,327754432
