,X1,X2,X3,X4,X5,X6
148,Thursday 24 January 2019,OIL/GBP,40.4473,OIL GBP rate for Thursday 24 January 2019,NA,NA
149,Wednesday 23 January 2019,OIL/GBP,40.1008,OIL GBP rate for Wednesday 23 January 2019,NA,NA
150,Tuesday 22 January 2019,OIL/GBP,40.817,OIL GBP rate for Tuesday 22 January 2019,NA,NA
151,Monday 21 January 2019,OIL/GBP,42.0713,OIL GBP rate for Monday 21 January 2019,NA,NA
152,Sunday 20 January 2019,OIL/GBP,41.7159,OIL GBP rate for Sunday 20 January 2019,NA,NA
153,Saturday 19 January 2019,OIL/GBP,41.9158,OIL GBP rate for Saturday 19 January 2019,NA,NA
154,Friday 18 January 2019,OIL/GBP,41.9158,OIL GBP rate for Friday 18 January 2019,NA,NA
155,Thursday 17 January 2019,OIL/GBP,40.4207,OIL GBP rate for Thursday 17 January 2019,NA,NA
156,Wednesday 16 January 2019,OIL/GBP,40.761,OIL GBP rate for Wednesday 16 January 2019,NA,NA
157,Tuesday 15 January 2019,OIL/GBP,40.3131,OIL GBP rate for Tuesday 15 January 2019,NA,NA
158,Monday 14 January 2019,OIL/GBP,39.3697,OIL GBP rate for Monday 14 January 2019,NA,NA
159,Sunday 13 January 2019,OIL/GBP,40.3251,OIL GBP rate for Sunday 13 January 2019,NA,NA
160,Saturday 12 January 2019,OIL/GBP,40.2549,OIL GBP rate for Saturday 12 January 2019,NA,NA
161,Friday 11 January 2019,OIL/GBP,40.2449,OIL GBP rate for Friday 11 January 2019,NA,NA
162,Thursday 10 January 2019,OIL/GBP,40.9976,OIL GBP rate for Thursday 10 January 2019,NA,NA
163,Wednesday  9 January 2019,OIL/GBP,40.7638,OIL GBP rate for Wednesday  9 January 2019,NA,NA
164,Tuesday  8 January 2019,OIL/GBP,39.2515,OIL GBP rate for Tuesday  8 January 2019,NA,NA
165,Monday  7 January 2019,OIL/GBP,38.1159,OIL GBP rate for Monday  7 January 2019,NA,NA
166,Sunday  6 January 2019,OIL/GBP,38.1563,OIL GBP rate for Sunday  6 January 2019,NA,NA
167,Saturday  5 January 2019,OIL/GBP,37.9757,OIL GBP rate for Saturday  5 January 2019,NA,NA
168,Friday  4 January 2019,OIL/GBP,37.9581,OIL GBP rate for Friday  4 January 2019,NA,NA
169,Thursday  3 January 2019,OIL/GBP,37.1189,OIL GBP rate for Thursday  3 January 2019,NA,NA
170,Wednesday  2 January 2019,OIL/GBP,36.5702,OIL GBP rate for Wednesday  2 January 2019,NA,NA
171,Tuesday  1 January 2019,OIL/GBP,35.9826,OIL GBP rate for Tuesday  1 January 2019,NA,NA
172,Monday 31 December 2018,OIL/GBP,35.9601,OIL GBP rate for Monday 31 December 2018,NA,NA
173,Sunday 30 December 2018,OIL/GBP,35.8499,OIL GBP rate for Sunday 30 December 2018,NA,NA
174,Saturday 29 December 2018,OIL/GBP,35.5461,OIL GBP rate for Saturday 29 December 2018,NA,NA
175,Friday 28 December 2018,OIL/GBP,35.5461,OIL GBP rate for Friday 28 December 2018,NA,NA
176,Thursday 27 December 2018,OIL/GBP,35.9156,OIL GBP rate for Thursday 27 December 2018,NA,NA
177,Wednesday 26 December 2018,OIL/GBP,36.8488,OIL GBP rate for Wednesday 26 December 2018,NA,NA
178,Tuesday 25 December 2018,OIL/GBP,34.0046,OIL GBP rate for Tuesday 25 December 2018,NA,NA
179,Monday 24 December 2018,OIL/GBP,33.5796,OIL GBP rate for Monday 24 December 2018,NA,NA
180,Sunday 23 December 2018,OIL/GBP,36.0521,OIL GBP rate for Sunday 23 December 2018,NA,NA
181,Saturday 22 December 2018,OIL/GBP,35.9473,OIL GBP rate for Saturday 22 December 2018,NA,NA
182,Friday 21 December 2018,OIL/GBP,35.9387,OIL GBP rate for Friday 21 December 2018,NA,NA
183,Thursday 20 December 2018,OIL/GBP,36.608,OIL GBP rate for Thursday 20 December 2018,NA,NA
184,Wednesday 19 December 2018,OIL/GBP,37.5277,OIL GBP rate for Wednesday 19 December 2018,NA,NA
185,Tuesday 18 December 2018,OIL/GBP,36.8756,OIL GBP rate for Tuesday 18 December 2018,NA,NA
186,Monday 17 December 2018,OIL/GBP,39.3549,OIL GBP rate for Monday 17 December 2018,NA,NA
187,Sunday 16 December 2018,OIL/GBP,40.9886,OIL GBP rate for Sunday 16 December 2018,NA,NA
188,Saturday 15 December 2018,OIL/GBP,40.8968,OIL GBP rate for Saturday 15 December 2018,NA,NA
189,Friday 14 December 2018,OIL/GBP,40.8968,OIL GBP rate for Friday 14 December 2018,NA,NA
190,Thursday 13 December 2018,OIL/GBP,41.7585,OIL GBP rate for Thursday 13 December 2018,NA,NA
191,Wednesday 12 December 2018,OIL/GBP,40.6508,OIL GBP rate for Wednesday 12 December 2018,NA,NA
192,Tuesday 11 December 2018,OIL/GBP,41.652,OIL GBP rate for Tuesday 11 December 2018,NA,NA
