,X1,X2,X3,X4,X5,X6
266,Saturday 29 September 2018,XAU/GBP,914.52175,XAU GBP rate for Saturday 29 September 2018,NA,NA
267,Friday 28 September 2018,XAU/GBP,914.52175,XAU GBP rate for Friday 28 September 2018,NA,NA
268,Thursday 27 September 2018,XAU/GBP,905.26847,XAU GBP rate for Thursday 27 September 2018,NA,NA
269,Wednesday 26 September 2018,XAU/GBP,907.43138,XAU GBP rate for Wednesday 26 September 2018,NA,NA
270,Tuesday 25 September 2018,XAU/GBP,912.02571,XAU GBP rate for Tuesday 25 September 2018,NA,NA
271,Monday 24 September 2018,XAU/GBP,914.23376,XAU GBP rate for Monday 24 September 2018,NA,NA
272,Sunday 23 September 2018,XAU/GBP,915.94692,XAU GBP rate for Sunday 23 September 2018,NA,NA
273,Saturday 22 September 2018,XAU/GBP,917.65588,XAU GBP rate for Saturday 22 September 2018,NA,NA
274,Friday 21 September 2018,XAU/GBP,917.65588,XAU GBP rate for Friday 21 September 2018,NA,NA
275,Thursday 20 September 2018,XAU/GBP,909.40465,XAU GBP rate for Thursday 20 September 2018,NA,NA
276,Wednesday 19 September 2018,XAU/GBP,916.09778,XAU GBP rate for Wednesday 19 September 2018,NA,NA
277,Tuesday 18 September 2018,XAU/GBP,910.99894,XAU GBP rate for Tuesday 18 September 2018,NA,NA
