"","open","high","low","close","volume","adjusted_close"
"X2019.04.11",126.889999,128.080002,122.300003,126.599998,582664,126.599998
"X2019.04.12",126.599998,127.589996,124.699997,126.099998,275464,126.099998
"X2019.04.13",126.099998,129.690002,124.279999,128.990005,398003,128.990005
"X2019.04.14",128.990005,129.990005,119.440002,122.830002,599344,122.830002
"X2019.04.15",122.830002,128.639999,121.82,127.290001,351953,127.290001
"X2019.04.16",127.290001,128.610001,125.82,127.900002,398005,127.900002
"X2019.04.17",127.900002,135.850006,127.669998,133.839996,680007,133.839996
"X2019.04.18",133.839996,134.979996,130.729996,134.330002,398670,134.330002
"X2019.04.19",134.330002,137.080002,132.479996,133.979996,353532,133.979996
"X2019.04.20",133.979996,134.789993,128.789993,131.089996,450469,131.089996
"X2019.04.21",131.089996,133.679993,130.009995,132.479996,429623,132.479996
"X2019.04.22",132.479996,136.449997,131.130005,132.229996,686426,132.229996
"X2019.04.23",132.229996,132.619995,124.290001,128.320007,532711,128.320007
"X2019.04.24",128.320007,129.130005,114.800003,118.489998,688188,118.489998
"X2019.04.25",118.489998,121.18,115.839996,119.220001,859177,119.220001
"X2019.04.26",119.220001,125.029999,118.470001,122.209999,370540,122.209999
"X2019.04.27",122.18,125.589996,118.5,119.970001,379566,119.970001
"X2019.04.28",119.970001,121.080002,116.529999,118.110001,401627,118.110001
"X2019.04.29",118.110001,128.289993,118.110001,124.849998,591193,124.849998
"X2019.04.30",124.849998,126.669998,120.209999,121.669998,513585,121.669998
"X2019.05.01",121.669998,126.57,120.389999,122.459999,277324,122.459999
"X2019.05.02",122.459999,132.570007,121.860001,124.989998,618863,124.989998
"X2019.05.03",124.989998,132.479996,120.769997,123.849998,439847,123.849998
"X2019.05.04",123.849998,129.5,120.43,123,278386,123
"X2019.05.05",123,136.320007,120.589996,132.729996,910284,132.729996
"X2019.05.06",132.729996,143.669998,127.970001,128.410004,819032,128.410004
"X2019.05.07",128.410004,133.479996,126.150002,131.300003,829063,131.300003
"X2019.05.08",131.300003,133.600006,127.010002,130.639999,905992,130.639999
"X2019.05.09",130.639999,135.149994,129.339996,133.449997,1027774,133.449997
"X2019.05.10",133.449997,159.610001,132.520004,148.520004,2636950,148.520004
"X2019.05.11",148.520004,156.990005,140.710007,144.710007,1681539,144.710007
