"","date","GBPEUR","GBPUSD","GBPJPY","GBPEURLOG","GBPUSDLOG","GBPJPYLOG"
"276","2013-01-21",1.1903,1.58554,142.979996,-0.00360602512437169,-0.00763942583893362,-0.00337240895796587
"277","2013-01-22",1.1893,1.583782,141.878998,-0.000840477440634341,-0.00110938565428365,-0.00773016478845623
"278","2013-01-23",1.1892,1.583908,140.169998,-8.40866092570169e-05,7.95532391531517e-05,-0.0121186101677306
"279","2013-01-24",1.1893,1.58328,140.199997,8.40866092570169e-05,-0.000396566296809842,0.000213995795908417
"280","2013-01-25",1.1802,1.578283,142.901001,-0.00768098311013135,-0.00316109731867298,0.0190821366073317
"281","2013-01-28",1.1713,1.577511,143.824005,-0.00756967254723934,-0.000489258814358462,0.00643827478593728
"282","2013-01-29",1.167,1.569859,141.981995,-0.00367788978927297,-0.00486248205759976,-0.0128901108084065
"283","2013-01-30",1.1671,1.574803,142.942993,8.56861317519997e-05,0.00314437867948397,0.0067456466407334
"284","2013-01-31",1.164,1.579779,143.781006,-0.00265969012692494,0.00315477874851433,0.00584544990383318
"285","2013-02-01",1.1657,1.587024,145.496002,0.00145941563440358,0.00457560046531325,0.0118572582388836
"286","2013-02-04",1.1503,1.5705,145.679993,-0.013298987023822,-0.0104665243067043,0.00126377879803119
"287","2013-02-05",1.1659,1.575547,145.210007,0.013470543037281,0.00320847357309756,-0.0032313686201384
"288","2013-02-06",1.1529,1.566661,146.582993,-0.0112128137003377,-0.00565591054957654,0.00941075442443573
"289","2013-02-07",1.1579,1.566416,146.309998,0.00432751237931933,-0.00015639577354748,-0.00186412845266215
"290","2013-02-08",1.1732,1.571018,147.050003,0.0131270384850687,0.00293360963158151,0.00504504068076272
"291","2013-02-11",1.1817,1.580228,146.199997,0.00721902154167389,0.00584532354743306,-0.00579715860538599
"292","2013-02-12",1.1679,1.56568,147.464005,-0.0117468153604502,-0.00924890601097567,0.00860858530461073
"293","2013-02-13",1.1649,1.567644,146.216995,-0.00257201787878833,0.00125362091964504,-0.0084923266706447
"294","2013-02-14",1.155,1.553302,144.850006,-0.00853490244983743,-0.00919086774204758,-0.0093930197922889
"295","2013-02-15",1.1595,1.548659,143.960007,0.00388853373969239,-0.00299359241936964,-0.00616323380207273
"296","2013-02-18",1.1599,1.548012,145.031998,0.00034491679224416,-0.000417868097330742,0.00741886210186049
"297","2013-02-19",1.1593,1.547748,144.921005,-0.00051741981147474,-0.000170555857456622,-0.000765593073863258
"298","2013-02-20",1.1515,1.542734,144.552002,-0.00675093441561586,-0.00324480414334299,-0.00254948261806298
"299","2013-02-21",1.1469,1.522997,142.600006,-0.00400278989026304,-0.0128760629600438,-0.0135957681894494
"300","2013-02-22",1.1565,1.526252,142.145004,0.0083355523010171,0.00213495272859887,-0.00319585854912052
"301","2013-02-25",1.1438,1.50973,142.229996,-0.0110421501902782,-0.0108842299514629,0.000597745951863793
"302","2013-02-26",1.1602,1.516415,140.093994,0.0142363515507481,0.00441816956846885,-0.0151318544136458
"303","2013-02-27",1.1575,1.512997,139.330002,-0.00232989707157474,-0.00225654447158019,-0.00546834856511769
"304","2013-02-28",1.1525,1.51676,140,-0.00432901108958547,0.00248402887421956,0.00479718812939289
"305","2013-03-01",1.1606,1.51653,140.347,0.00700361688570431,-0.000151650518375124,0.00247550483654191
"306","2013-03-04",1.1548,1.503601,140.671005,-0.00500994396772789,-0.00856193256633719,0.00230593867870255
"307","2013-03-05",1.1605,1.512859,141.279999,0.00492377792571172,0.0061383403522684,0.00431986365295867
